signal_date,entry_date,code,industry_l1,signal_price_mode,trade_price_mode,return_mode,pivot_price_hfq,signal_close_hfq,signal_close_raw,signal_hfq_factor,entry_price,entry_price_raw,entry_price_hfq,valid_entry,invalid_reason,entry_hfq_factor,entry_gap_from_signal_close,entry_gap_from_signal_close_raw,entry_over_pivot_hfq,exit_signal_date,exit_date,exit_price,exit_price_raw,exit_price_hfq,exit_hfq_factor,hold_days,raw_price_return,trend_return,trade_return_adj,exit_reason,max_return_during_hold,min_return_during_hold,max_drawdown_during_hold,has_ex_dividend_during_holding,rs_60_rank_pct,amount_ratio_20,week_close_to_high_30,week_close_to_high_52,base2_depth,breakout_close_over_pivot,ret_80,pctChg
20251218,20251219.0,002985.SZ,国防军工,hfq,raw,raw_price_with_hfq_factor,30.55550206123716,31.16559528042991,30.65,1.016822031987925,30.45,30.45,30.96223087403233,True,,1.016822031987925,-0.0065252854812397,-0.0065252854812397,0.0133111480865224,20260302.0,20260303.0,41.02,41.02,41.7100397521447,1.016822031987925,44.0,0.3471264367816093,0.3471264367816093,0.3471264367816093,trailing_stop,0.5425287356321837,-0.0088669950738915,-0.1230572705982541,False,0.8721356553620532,3.237312218015905,0.885448916408669,0.885448916408669,0.1088560885608855,0.0199667221297836,0.0354729729729728,0.100144
20251208,20251209.0,002117.SZ,轻工制造,hfq,raw,raw_price_with_hfq_factor,13.617472486962528,13.807926647619349,13.05,1.0580786703156588,13.08,13.08,13.839669007728816,True,,1.0580786703156588,0.0022988505747125,0.0022988505747125,0.0163170163170163,20260105.0,20260106.0,12.34,12.34,13.05669079169523,1.0580786703156588,18.0,-0.0565749235474006,-0.0565749235474006,-0.0565749235474006,trailing_stop,0.0886850152905198,-0.0496941896024465,-0.1271067415730338,False,0.7533241632278771,1.6553525633113415,0.919170243204578,0.8474645515800411,0.1171875,0.0139860139860141,0.0515713134568895,0.015564
20250605,20250606.0,002545.SZ,基础化工,hfq,raw,raw_price_with_hfq_factor,8.247552870090633,8.571601208459214,8.2,1.0453172205438066,8.22,8.22,8.59250755287009,True,,1.0453172205438066,0.0024390243902439,0.0024390243902441,0.0418250950570344,20250819.0,20250820.0,9.61,9.61,10.36609950504596,1.0786784084335026,53.0,0.1690997566909973,0.206411451053476,0.206411451053476,break_ma20_confirmed,0.282989076978827,0.0072992700729925,-0.0596868884540118,True,0.7801467216872994,4.276317404498672,0.8903301886792453,0.8903301886792453,0.1097046413502107,0.0392902408111535,0.1832611832611832,0.053985
20250611,20250612.0,000408.SZ,有色金属,hfq,raw,raw_price_with_hfq_factor,40.017344454453735,41.28378181462063,39.77,1.0380634099728596,39.96,39.96,41.48101386251547,True,,1.0380634099728596,0.0047774704551166,0.0047774704551168,0.0365758754863814,20250710.0,20250711.0,41.61,41.61,43.193818488970685,1.0380634099728596,21.0,0.0412912912912912,0.0412912912912912,0.0412912912912912,break_ma20_confirmed,0.0960960960960961,0.0125125125125125,-0.0541095890410958,False,0.7026345933562428,1.91277138855946,0.9748378728923476,0.9748378728923476,0.0859154929577463,0.0316472114137484,0.2206875383670965,0.038652
20250710,20250711.0,601696.SH,非银金融,hfq,raw,raw_price_with_hfq_factor,11.103980492284265,11.907888582223396,11.85,1.004885112423915,13.04,13.04,13.103701866007857,True,,1.004885112423915,0.10042194092827,0.10042194092827,0.1800904977375563,20250731.0,20250801.0,15.1,15.1,15.17376519760112,1.004885112423915,15.0,0.1579754601226994,0.1579754601226994,0.1579754601226994,trailing_stop,0.3726993865030674,-0.0475460122699386,-0.1486033519553071,False,0.641548327989006,4.732555007868168,0.8643379366368806,0.7509890469721339,0.1310133060388947,0.0723981900452488,0.1116322701688554,0.100279
20260106,20260107.0,301215.SZ,汽车,hfq,raw,raw_price_with_hfq_factor,7.276500268437088,7.379859647250115,7.14,1.033593788130268,7.11,7.11,7.348851833606207,True,,1.033593788130268,-0.0042016806722688,-0.0042016806722687,0.0099431818181818,20260130.0,20260202.0,6.9,6.9,7.13179713809885,1.033593788130268,18.0,-0.0295358649789029,-0.0295358649789028,-0.0295358649789028,break_ma20_confirmed,0.0337552742616031,-0.0253164556962026,-0.0571428571428571,False,0.6750687442713107,1.867512723492455,0.8824287186533838,0.8824287186533838,0.1391585760517801,0.0142045454545454,0.1623845607388112,0.040816
20260122,20260123.0,002572.SZ,轻工制造,hfq,raw,raw_price_with_hfq_factor,16.068485010434163,16.13590522726116,14.36,1.1236702804499414,14.33,14.33,16.10219511884766,True,,1.1236702804499414,-0.0020891364902506,-0.0020891364902506,0.0020979020979021,20260224.0,20260225.0,14.24,14.24,16.001064793607167,1.1236702804499414,17.0,-0.0062805303558967,-0.0062805303558967,-0.0062805303558967,break_ma20_confirmed,0.0537334263782276,-0.0181437543614794,-0.0589403973509933,False,0.6809436555199267,2.028122001595277,0.873046875,0.7798497500437309,0.0711610486891385,0.0041958041958041,0.0970206264323911,0.026447
20250813,20250814.0,003031.SZ,通信,hfq,raw,raw_price_with_hfq_factor,80.4351938468934,81.51543324119697,57.35,1.4213676240836437,57.35,57.35,81.51543324119697,True,,1.4213676240836437,0.0,0.0,0.0134299346174235,20250904.0,20250905.0,55.05,55.05,78.24628770580458,1.4213676240836437,16.0,-0.0401046207497821,-0.0401046207497821,-0.0401046207497821,break_ma20_confirmed,0.0840453356582389,-0.0446381865736705,-0.1187067717548657,False,0.7606407322654463,1.3337041573278452,0.9538698103536648,0.929042505917169,0.1221495141780686,0.0134299346174235,0.2982140739036427,0.026306
20250918,20250919.0,002010.SZ,交通运输,hfq,raw,raw_price_with_hfq_factor,6.829867919510683,6.986516266288451,6.69,1.0443223118517864,6.72,6.72,7.017845935644004,True,,1.0443223118517864,0.0044843049327354,0.0044843049327354,0.0275229357798165,20250926.0,20250929.0,6.17,6.17,6.443468664125522,1.0443223118517864,6.0,-0.081845238095238,-0.081845238095238,-0.081845238095238,hard_stop,-0.0059523809523809,-0.0833333333333333,-0.0778443113772454,False,0.7597254004576659,3.242643851300434,0.8993993993993994,0.8993993993993994,0.1314878892733564,0.0229357798165137,0.2637134708692916,0.03882
20250530,20250603.0,601009.SH,银行,hfq,raw,raw_price_with_hfq_factor,12.511041024653313,12.543878402670778,11.46,1.0945792672487589,11.45,11.45,12.532932609998287,True,,1.0945792672487589,-0.0008726003490402,-0.0008726003490402,0.0017497812773403,20250714.0,20250715.0,11.68,11.68,13.000461129929056,1.1130531789322822,30.0,0.0200873362445415,0.0373040001474029,0.0373040001474029,break_ma20_confirmed,0.0719400070016398,-0.0200873362445415,-0.0422535211267605,True,0.8253094910591472,1.683577082252331,0.986301369863014,0.9372856816276768,0.112950340798442,0.0026246719160107,0.0862559241706162,0.015957
20251013,20251014.0,603977.SH,基础化工,hfq,raw,raw_price_with_hfq_factor,13.79009558718974,13.943546205741557,13.63,1.023004123678764,13.63,13.63,13.943546205741557,True,,1.023004123678764,0.0,0.0,0.0111275964391692,20251016.0,20251017.0,12.78,12.78,13.073992700614603,1.023004123678764,3.0,-0.0623624358033749,-0.0623624358033749,-0.0623624358033749,pivot_failed,-0.0344827586206897,-0.062362435803375,-0.0288753799392097,False,0.669340054995417,2.185710568155268,0.9034013605442176,0.8719947057660741,0.1443123938879458,0.0111275964391692,0.1681878556171812,0.026355
20260521,20260522.0,601518.SH,交通运输,hfq,raw,raw_price_with_hfq_factor,3.2160632786480816,3.2589441223633893,3.04,1.072021092882694,3.03,3.03,3.2482239114345623,True,,1.072021092882694,-0.0032894736842105,-0.0032894736842106,0.01,20260601.0,20260601.0,3.13,3.13,3.355426020722832,1.072021092882694,7.0,0.0330033003300329,0.0330033003300329,0.0330033003300329,data_end_exit,0.0330033003300329,-0.0462046204620461,-0.0707395498392281,False,0.7513761467889908,3.673917722614687,0.8962264150943396,0.8962264150943396,0.0791366906474821,0.0133333333333331,0.0974729241877254,0.034014
