signal_date,entry_date,code,industry_l1,signal_price_mode,trade_price_mode,return_mode,pivot_price_hfq,signal_close_hfq,signal_close_raw,signal_hfq_factor,entry_price,entry_price_raw,entry_price_hfq,valid_entry,invalid_reason,entry_hfq_factor,entry_gap_from_signal_close,entry_gap_from_signal_close_raw,entry_over_pivot_hfq,exit_signal_date,exit_date,exit_price,exit_price_raw,exit_price_hfq,exit_hfq_factor,hold_days,raw_price_return,trend_return,trade_return_adj,exit_reason,max_return_during_hold,min_return_during_hold,max_drawdown_during_hold,has_ex_dividend_during_holding,rs_60_rank_pct,amount_ratio_20,week_close_to_high_30,week_close_to_high_52,base2_depth,breakout_close_over_pivot,ret_80,pctChg,structure_valid,structure_invalid_reason,base1_start,base1_end,breakout1_date,breakout1_price_hfq,breakout1_pct,leg1_high_date,leg1_high_price_hfq,prior_leg_return,leg1_days,base2_start,base2_end,base2_days,base2_high_hfq,base2_low_hfq,base2_depth_struct,base2_volume_contract,base2_range_contract,breakout2_date,breakout2_pct
20251218,20251219.0,002985.SZ,国防军工,hfq,raw,raw_price_with_hfq_factor,30.55550206123716,31.16559528042991,30.65,1.016822031987925,30.45,30.45,30.96223087403233,True,,1.016822031987925,-0.0065252854812397,-0.0065252854812397,0.0133111480865224,20260302.0,20260303.0,41.02,41.02,41.7100397521447,1.016822031987925,44.0,0.3471264367816093,0.3471264367816093,0.3471264367816093,trailing_stop,0.5425287356321837,-0.0088669950738915,-0.1230572705982541,False,0.8721356553620532,3.237312218015905,0.885448916408669,0.885448916408669,0.1088560885608855,0.0199667221297836,0.0354729729729728,0.100144,True,,20250822,20251010,20251013,32.29426773593651,0.029164,20251015,32.843351633209984,0.0170025188916875,3.0,20251016,20251217,45.0,32.77217409097083,27.555877066872775,0.1892988929889296,0.3249260961034906,1.1490113088533251,20251218,0.100144
20250605,20250606.0,002545.SZ,基础化工,hfq,raw,raw_price_with_hfq_factor,8.247552870090633,8.571601208459214,8.2,1.0453172205438066,8.22,8.22,8.59250755287009,True,,1.0453172205438066,0.0024390243902439,0.0024390243902441,0.0418250950570344,20250819.0,20250820.0,9.61,9.61,10.36609950504596,1.0786784084335026,53.0,0.1690997566909973,0.206411451053476,0.206411451053476,break_ma20_confirmed,0.282989076978827,0.0072992700729925,-0.0596868884540118,True,0.7801467216872994,4.276317404498672,0.8903301886792453,0.8903301886792453,0.1097046413502107,0.0392902408111535,0.1832611832611832,0.053985,True,,20250211,20250324,20250325,8.467069486404833,0.068602,20250325,8.59250755287009,0.0148148148148148,1.0,20250326,20250604,46.0,8.519335347432024,6.97226586102719,0.2218890554722639,0.2410290999859492,0.5601923887567956,20250605,0.053985
20250611,20250612.0,000408.SZ,有色金属,hfq,raw,raw_price_with_hfq_factor,40.017344454453735,41.28378181462063,39.77,1.0380634099728596,39.96,39.96,41.48101386251547,True,,1.0380634099728596,0.0047774704551166,0.0047774704551168,0.0365758754863814,20250710.0,20250711.0,41.61,41.61,43.193818488970685,1.0380634099728596,21.0,0.0412912912912912,0.0412912912912912,0.0412912912912912,break_ma20_confirmed,0.0960960960960961,0.0125125125125125,-0.0541095890410958,False,0.7026345933562428,1.91277138855946,0.9748378728923476,0.9748378728923476,0.0859154929577463,0.0316472114137484,0.2206875383670965,0.038652,True,,20250121,20250311,20250312,38.730145826087394,0.065696,20250526,40.017344454453735,0.0332350576253013,50.0,20250527,20250610,10.0,39.91353811345645,37.380663393122674,0.0677589558455984,0.6931518111032635,1.359286099468569,20250611,0.038652
20260122,20260123.0,002572.SZ,轻工制造,hfq,raw,raw_price_with_hfq_factor,16.068485010434163,16.13590522726116,14.36,1.1236702804499414,14.33,14.33,16.10219511884766,True,,1.1236702804499414,-0.0020891364902506,-0.0020891364902506,0.0020979020979021,20260302.0,20260303.0,13.61,13.61,15.293152516923705,1.1236702804499414,21.0,-0.0502442428471737,-0.0502442428471738,-0.0502442428471738,break_ma20_confirmed,0.0537334263782276,-0.0516399162595951,-0.0999999999999999,False,0.6809436555199267,2.028122001595277,0.873046875,0.7798497500437309,0.0711610486891385,0.0041958041958041,0.0970206264323911,0.026447,True,,20251020,20251128,20251201,16.371875986155647,0.042949,20251201,17.2595755077111,0.0542210020590254,1.0,20251202,20260121,35.0,16.630320150659134,15.000998244006718,0.1086142322097378,0.1808447290074425,0.9540837193995368,20260122,0.026447
20250813,20250814.0,003031.SZ,通信,hfq,raw,raw_price_with_hfq_factor,80.4351938468934,81.51543324119697,57.35,1.4213676240836437,57.35,57.35,81.51543324119697,True,,1.4213676240836437,0.0,0.0,0.0134299346174235,20251015.0,20251016.0,57.0,57.0,81.01795457276769,1.4213676240836437,39.0,-0.006102877070619,-0.0061028770706189,-0.0061028770706189,break_ma20_confirmed,0.0840453356582389,-0.0446381865736705,-0.1187067717548657,False,0.7606407322654463,1.3337041573278452,0.9538698103536648,0.929042505917169,0.1221495141780686,0.0134299346174235,0.2982140739036427,0.026306,True,,20250519,20250630,20250701,79.0706809277731,0.04548,20250701,83.19264703761567,0.0521301456048894,1.0,20250702,20250812,30.0,80.4351938468934,71.67956928253815,0.1221495141780686,0.2223882386955626,1.008948363383323,20250813,0.026306
20250918,20250919.0,002010.SZ,交通运输,hfq,raw,raw_price_with_hfq_factor,6.829867919510683,6.986516266288451,6.69,1.0443223118517864,6.72,6.72,7.017845935644004,True,,1.0443223118517864,0.0044843049327354,0.0044843049327354,0.0275229357798165,20250926.0,20250929.0,6.17,6.17,6.443468664125522,1.0443223118517864,6.0,-0.081845238095238,-0.081845238095238,-0.081845238095238,hard_stop,-0.0059523809523809,-0.0833333333333333,-0.0778443113772454,False,0.7597254004576659,3.242643851300434,0.8993993993993994,0.8993993993993994,0.1314878892733564,0.0229357798165137,0.2637134708692916,0.03882,True,,20250606,20250717,20250718,6.808981473273646,0.099494,20250721,6.955186596932897,0.0214723926380369,2.0,20250722,20250917,42.0,6.955186596932897,6.036182962503325,0.1522491349480967,0.2814821105351903,0.9656546624052772,20250918,0.03882
20251013,20251014.0,603977.SH,基础化工,hfq,raw,raw_price_with_hfq_factor,13.79009558718974,13.943546205741557,13.63,1.023004123678764,13.63,13.63,13.943546205741557,True,,1.023004123678764,0.0,0.0,0.0111275964391692,20251016.0,20251017.0,12.78,12.78,13.073992700614603,1.023004123678764,3.0,-0.0623624358033749,-0.0623624358033749,-0.0623624358033749,pivot_failed,-0.0344827586206897,-0.062362435803375,-0.0288753799392097,False,0.669340054995417,2.185710568155268,0.9034013605442176,0.8719947057660741,0.1443123938879458,0.0111275964391692,0.1681878556171812,0.026355,True,,20250710,20250820,20250821,13.779865545952951,0.049065,20250821,14.158377071714096,0.0274684484038605,1.0,20250822,20251010,30.0,13.79009558718974,12.050988576935842,0.1443123938879458,0.2345942685120628,1.1206886751949854,20251013,0.026355
20260521,20260522.0,601518.SH,交通运输,hfq,raw,raw_price_with_hfq_factor,3.2160632786480816,3.2589441223633893,3.04,1.072021092882694,3.03,3.03,3.2482239114345623,True,,1.072021092882694,-0.0032894736842105,-0.0032894736842106,0.01,20260601.0,20260601.0,3.13,3.13,3.355426020722832,1.072021092882694,7.0,0.0330033003300329,0.0330033003300329,0.0330033003300329,data_end_exit,0.0330033003300329,-0.0462046204620461,-0.0707395498392281,False,0.7513761467889908,3.673917722614687,0.8962264150943396,0.8962264150943396,0.0791366906474821,0.0133333333333331,0.0974729241877254,0.034014,True,,20251215,20260127,20260128,3.130301591217466,0.020979,20260312,3.366146231651659,0.0753424657534247,26.0,20260313,20260520,45.0,3.312545177007524,2.9480580054274084,0.1236363636363635,1.008558570314591,0.5411267631828778,20260521,0.034014
20251106,20251107.0,000902.SZ,基础化工,hfq,raw,raw_price_with_hfq_factor,15.72681928463331,16.417877921641164,15.68,1.0470585409209927,15.59,15.59,16.323642652958277,True,,1.0470585409209927,-0.0057397959183671,-0.0057397959183673,0.0379494007989349,20251205.0,20251208.0,15.66,15.66,16.396936750822746,1.0470585409209927,21.0,0.0044900577293136,0.0044900577293136,0.0044900577293136,break_ma20_confirmed,0.0628608082103912,-0.023733162283515,-0.0814725407362703,False,0.6017415215398717,3.079334342380169,0.9447268106734434,0.9447268106734434,0.137017411052233,0.043941411451398,0.1272465851905102,0.0608929999999999,True,,20250710,20250820,20250821,15.9257604074083,0.062893,20250821,16.480701434096424,0.0348454963839579,1.0,20250822,20251105,48.0,16.197995628047757,13.831643325566317,0.1710825132475395,0.1982401570091158,0.9286180970429488,20251106,0.0608929999999999
20251229,20251230.0,601021.SH,交通运输,hfq,raw,raw_price_with_hfq_factor,59.92454083561953,60.56721883800812,58.43,1.0365774232073954,57.99,57.99,60.11112477179687,True,,1.0365774232073954,-0.007530378230361,-0.007530378230361,0.0031136481577582,20260129.0,20260130.0,55.97,55.97,58.01723837691792,1.0365774232073954,21.0,-0.0348335919986204,-0.0348335919986204,-0.0348335919986204,break_ma20_confirmed,0.0260389722365923,-0.0351784790481117,-0.0596638655462185,False,0.7375171781951443,1.4589945109911655,0.9333664021164022,0.9333664021164022,0.1115170159584695,0.0107247880989447,0.104158271853388,0.035075,True,,20250919,20251107,20251110,60.53612151531189,0.051116,20251112,62.69220255558327,0.0356164383561643,3.0,20251113,20251226,32.0,62.59891058749461,53.91239178101664,0.1611228609882713,0.5211963079469458,0.9205698152856688,20251229,0.035075
20260213,20260224.0,603155.SH,基础化工,hfq,raw,raw_price_with_hfq_factor,28.106671346274688,28.493733557611097,19.14,1.4887008128323458,19.15,19.15,28.50862056573942,True,,1.4887008128323458,0.0005224660397074,0.0005224660397074,0.0143008474576271,20260311.0,20260312.0,18.31,18.31,27.25811188296025,1.4887008128323458,12.0,-0.043864229765013,-0.043864229765013,-0.043864229765013,trailing_stop,0.1227154046997389,-0.0344647519582246,-0.14,False,0.6152084287677508,3.7261732481646175,0.8272994129158513,0.8272994129158513,0.1428571428571428,0.0137711864406779,0.2284980744544287,0.0224359999999999,True,,20251015,20251125,20251126,29.50605011033709,0.0998889999999999,20251128,30.42904461429315,0.0312815338042382,3.0,20251201,20260212,52.0,29.714468224133626,24.593337427990352,0.208232445520581,0.2220435830111564,0.8197491063354373,20260213,0.0224359999999999
20260529,20260601.0,000883.SZ,公用事业,hfq,raw,raw_price_with_hfq_factor,5.472656270567689,5.545486296982088,5.33,1.0404289487771272,5.34,5.34,5.555890586469859,True,,1.0404289487771272,0.0018761726078797,0.0018761726078799,0.015209125475285,20260601.0,20260601.0,5.42,5.42,5.639124902372029,1.0404289487771272,1.0,0.0149812734082397,0.0149812734082397,0.0149812734082397,data_end_exit,0.0149812734082397,0.0149812734082397,0.0,False,0.8342896488409456,1.7256294803079308,0.9106145251396648,0.9106145251396648,0.1434782608695652,0.0133079847908745,0.1413276231263383,0.030948,True,,20260203,20260324,20260325,5.472656270567689,0.031373,20260326,5.587103454933173,0.020912547528517,2.0,20260327,20260528,41.0,5.555890586469859,4.723547427448158,0.1762114537444932,0.4079027269711959,1.2422901114122429,20260529,0.030948
20251223,20251224.0,600578.SH,公用事业,hfq,raw,raw_price_with_hfq_factor,5.277603278251597,5.425672308102342,5.13,1.05763592750533,5.17,5.17,5.467977745202556,True,,1.05763592750533,0.0077972709551656,0.0077972709551656,0.0360721442885771,20260128.0,20260129.0,5.39,5.39,5.700657649253729,1.05763592750533,24.0,0.0425531914893617,0.0425531914893617,0.0425531914893617,break_ma20_confirmed,0.0928433268858801,-0.0135396518375242,-0.056637168141593,False,0.9067155626862252,4.184102081977732,0.8992248062015502,0.8992248062015502,0.1366742596810937,0.0280561122244487,0.1632653061224489,0.082278,True,,20250905,20251024,20251027,5.330485074626863,0.034908,20251028,5.457401385927503,0.0238095238095239,2.0,20251029,20251222,39.0,5.35163779317697,4.643021721748398,0.1526195899772211,0.3890737329502571,0.9254791013841002,20251223,0.082278
20260114,20260115.0,000778.SZ,钢铁,hfq,raw,raw_price_with_hfq_factor,4.449639448568398,4.459868504772004,4.36,1.022905620360551,4.32,4.32,4.418952279957582,True,,1.022905620360551,-0.0091743119266053,-0.0091743119266055,-0.0068965517241377,20260310.0,20260311.0,5.0,5.0,5.114528101802756,1.022905620360551,33.0,0.1574074074074074,0.1574074074074074,0.1574074074074074,break_ma20_confirmed,0.2222222222222221,0.0046296296296295,-0.0637065637065635,False,0.6438733363928407,2.636762695911389,0.9465478841870824,0.9465478841870824,0.10126582278481,0.0022988505747127,0.1324675324675324,0.028302,True,,20250905,20251024,20251027,4.418952279957582,0.069307,20251030,4.592846235418875,0.0393518518518516,4.0,20251031,20260113,51.0,4.592846235418875,3.968873806998939,0.1572164948453607,0.205814763108607,0.9890281328081624,20260114,0.028302
20260127,20260128.0,002432.SZ,医药生物,hfq,raw,raw_price_with_hfq_factor,44.29690311088329,44.46879248611383,43.98,1.01111397194438,43.45,43.45,43.93290208098332,True,,1.01111397194438,-0.0120509322419278,-0.0120509322419279,-0.0082173019858479,20260128.0,20260129.0,42.27,42.27,42.73978759408895,1.01111397194438,1.0,-0.0271576524741081,-0.0271576524741081,-0.0271576524741081,pivot_failed,-0.0246260069044879,-0.0246260069044879,0.0,False,0.624971363115693,3.037954843234039,0.941777777777778,0.8936755764385825,0.0963463463463463,0.0038803926044279,0.1323377960865084,0.029735,True,,20250919,20251107,20251110,44.6912375599416,0.10005,20251114,45.5001287374971,0.0180995475113121,5.0,20251117,20260126,49.0,44.59012616274716,40.27266950254465,0.1072056239015819,0.299772892494746,0.7641282658190788,20260127,0.029735
